大陆,#genre#
CCTV中国中央电视台-5 体育,http://111.40.205.107/PLTV/88888888/224/3221225711/index.m3u8#http://117.148.187.37/PLTV/88888888/224/3221226400/index.m3u8#http://121.31.30.90:8085/ysten-business/live/cctv-5/yst.m3u8
CCTV中国中央电视台-5+ 体育赛事,http://121.31.30.90:8085/ysten-business/live/hdcctv05plus/yst.m3u8#http://ivi.bupt.edu.cn/hls/cctv5phd.m3u8
NewTV未来电视 精品体育,http://121.31.30.90:8085/ysten-business/live/jtiyu/1.m3u8
緯來體育台,http://220.158.149.14:9999/live/TV00000000000000000078@HHZT;LIVE

电影,#genre#
CCTV中国中央电视台-6 电影,http://117.169.120.140:8080/live/cctv-6/.m3u8#http://121.31.30.90:8085/ysten-business/live/cctv-6/1.m3u8#http://ivi.bupt.edu.cn/hls/cctv6hd.m3u8
CHC高清电影,http://ivi.bupt.edu.cn/hls/chchd.m3u8
黑莓电影,http://121.31.30.90:8085/ysten-business/live/jdianying/1.m3u8

记实,#genre#
CCTV中国中央电视台-9 纪录,http://117.148.187.37/PLTV/88888888/224/3221226156/index.m3u8#http://ivi.bupt.edu.cn/hls/cctv9.m3u8
NewTV未来电视 精品记录,http://117.148.187.37/PLTV/88888888/224/3221226763/index.m3u8#http://121.31.30.90:8085/ysten-business/live/jingpinjl/1.m3u8

宗教,#genre#
GOOD TV CH1 綜合台,https://live.streamingfast.net/osmflivech1.m3u8
GOOD TV CH10 烤箱讀書會 短版,https://live.streamingfast.net/osmflivech10.m3u8
GOOD TV CH12 維他命施,https://live.streamingfast.net/osmflivech12.m3u8
GOOD TV CH13 健康新煮流 短版,https://live.streamingfast.net/osmflivech13.m3u8
GOOD TV CH14 真情部落格,https://live.streamingfast.net/osmflivech14.m3u8
GOOD TV CH15 真情之夜,https://live.streamingfast.net/osmflivech15.m3u8
GOOD TV CH16 葉光明,https://live.streamingfast.net/osmflivech16.m3u8
GOOD TV CH17 大衛鮑森,https://live.streamingfast.net/osmflivech17.m3u8
GOOD TV CH19 共享觀點,https://live.streamingfast.net/osmflivech19.m3u8
GOOD TV CH2 真理台,https://live.streamingfast.net/osmflivech2.m3u8
GOOD TV CH20 恩典時分,https://live.streamingfast.net/osmflivech20.m3u8
GOOD TV CH21 華語講員,https://live.streamingfast.net/osmflivech21.m3u8
GOOD TV CH22 職場新視野,https://live.streamingfast.net/osmflivech22.m3u8
GOOD TV CH23 空中主日學 生活,https://live.streamingfast.net/osmflivech23.m3u8
GOOD TV CH26 空中主日學 查經,https://live.streamingfast.net/osmflivech26.m3u8
GOOD TV CH27 空中聖經學院,https://live.streamingfast.net/osmflivech27.m3u8
GOOD TV CH28 現代詩歌,https://live.streamingfast.net/osmflivech28.m3u8
GOOD TV CH29 經典音樂河,https://live.streamingfast.net/osmflivech29.m3u8
GOOD TV CH3 真情部落格 短版,https://live.streamingfast.net/osmflivech3.m3u8
GOOD TV CH30 天堂敬拜,https://live.streamingfast.net/osmflivech30.m3u8
GOOD TV CH31 福音佈道音樂會,https://live.streamingfast.net/osmflivech31.m3u8
GOOD TV CH32 特會系列：禱告與轉化,https://live.streamingfast.net/osmflivech32.m3u8
GOOD TV CH33 特會系列：研經培靈,https://live.streamingfast.net/osmflivech33.m3u8
GOOD TV CH36 特會系列：超自然大能．醫治釋放,https://live.streamingfast.net/osmflivech36.m3u8
GOOD TV CH37 特會系列：以色列專題,https://live.streamingfast.net/osmflivech37.m3u8
GOOD TV CH38 特會系列：青年特會,https://live.streamingfast.net/osmflivech38.m3u8
GOOD TV CH40 家庭8點檔轉轉發現愛,https://live.streamingfast.net/osmflivech40.m3u8
GOOD TV CH41 幸福學堂,https://live.streamingfast.net/osmflivech41.m3u8
GOOD TV CH44 烤箱讀書會,https://live.streamingfast.net/osmflivech44.m3u8
