马来西亚,#genre#
CCTV中国中央电视台-3 综艺,http://117.169.120.140:8080/live/cctv-3/.m3u8#http://121.31.30.90:8085/ysten-business/live/cctv-3/1.m3u8#http://ivi.bupt.edu.cn/hls/cctv3hd.m3u8
CCTV中国中央电视台-4 中文国际,http://117.148.187.37/PLTV/88888888/224/3221226171/index.m3u8#http://117.169.120.140:8080/live/cctv-4/.m3u8#http://121.31.30.90:8085/ysten-business/live/cctv-4/1.m3u8
CCTV中国中央电视台-5 体育,http://111.40.205.107/PLTV/88888888/224/3221225711/index.m3u8#http://117.148.187.37/PLTV/88888888/224/3221226400/index.m3u8#http://121.31.30.90:8085/ysten-business/live/cctv-5/yst.m3u8
CCTV中国中央电视台-5+ 体育赛事,http://121.31.30.90:8085/ysten-business/live/hdcctv05plus/yst.m3u8#http://ivi.bupt.edu.cn/hls/cctv5phd.m3u8
CCTV中国中央电视台-6 电影,http://117.169.120.140:8080/live/cctv-6/.m3u8#http://121.31.30.90:8085/ysten-business/live/cctv-6/1.m3u8#http://ivi.bupt.edu.cn/hls/cctv6hd.m3u8
CCTV中国中央电视台-7 国防军事,http://117.148.187.37/PLTV/88888888/224/3221226122/index.m3u8#http://117.148.187.37/PLTV/88888888/224/3221226470/index.m3u8#http://117.169.120.140:8080/live/cctv-7/.m3u8#http://121.31.30.90:8085/ysten-business/live/cctv-7/1.m3u8
CCTV中国中央电视台-8 电视剧,http://117.148.187.37/PLTV/88888888/224/3221226493/index.m3u8#http://117.169.120.140:8080/live/cctv-8/.m3u8#http://121.31.30.90:8085/ysten-business/live/cctv-8/1.m3u8#http://ivi.bupt.edu.cn/hls/cctv8.m3u8#http://ivi.bupt.edu.cn/hls/cctv8hd.m3u8
CCTV中国中央电视台-9 纪录,http://117.148.187.37/PLTV/88888888/224/3221226156/index.m3u8#http://ivi.bupt.edu.cn/hls/cctv9.m3u8
CHC高清电影,http://ivi.bupt.edu.cn/hls/chchd.m3u8
iPanda,http://gccnchwc.v.cdn20.com/gc/xiongmao01_1.flv
IPTV精品综艺,http://121.31.30.90:8085/ysten-business/live/jzongyi/yst.m3u8
NewTV未来电视 中国功夫 (Backup),http://121.31.30.90:8085/ysten-business/live/SD-1500k-576P-gzkongfu/1.m3u8
NewTV未来电视 军事评论 (Backup),http://121.31.30.90:8085/ysten-business/live/junshipl/1.m3u8
NewTV未来电视 军旅剧场,http://121.31.30.90:8085/ysten-business/live/junlvjc/1.m3u8
NewTV未来电视 农业致富,http://121.31.30.90:8085/ysten-business/live/nongyezf/1.m3u8
NewTV未来电视 动作电影 (Backup),http://121.31.30.90:8085/ysten-business/live/dongzuody/1.m3u8
NewTV未来电视 家庭剧场 (Backup),http://121.31.30.90:8085/ysten-business/live/jiatingjc/1.m3u8
NewTV未来电视 惊悚悬疑 (Backup),http://121.31.30.90:8085/ysten-business/live/jingsongxy/1.m3u8
NewTV未来电视 搏击 (Backup),http://121.31.30.90:8085/ysten-business/live/SD-1500k-576P-bokesen/1.m3u8
NewTV未来电视 明星大片 (Backup),http://117.148.187.37/PLTV/88888888/224/3221226751/index.m3u8#http://121.31.30.90:8085/ysten-business/live/mingxingdp/1.m3u8
NewTV未来电视 潮妈辣婆,http://117.148.187.37/PLTV/88888888/224/3221226666/index.m3u8
NewTV未来电视 炫舞未来,http://112.17.40.140/PLTV/88888888/224/3221226817/index.m3u8
NewTV未来电视 精品体育,http://121.31.30.90:8085/ysten-business/live/jtiyu/1.m3u8
NewTV未来电视 精品大剧 (Backup),http://121.31.30.90:8085/ysten-business/live/jdaju/1.m3u8
NewTV未来电视 精品记录,http://117.148.187.37/PLTV/88888888/224/3221226763/index.m3u8#http://121.31.30.90:8085/ysten-business/live/jingpinjl/1.m3u8
NewTV未来电视 金牌综艺 (Backup),http://121.31.30.90:8085/ysten-business/live/saishijx/1.m3u8
万州三峡移民,http://123.146.162.24:8013/tslslive/PU2vzMI/hls/live_sd.m3u8
万州影视,http://123.146.162.24:8013/tslslive/vWlnEzU/hls/live_sd.m3u8
